Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 26 s using 10156 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:affects_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000013677	0.384615385	0.454545455	5	13	11	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.166666667	0.333333333	1	6	3	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_secretion_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.166666667	0.333333333	1	6	3	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.15	0.176470588	3	20	17	?a
?b  biolink:affects_response_to  ?a  ?a  downregulated_biolink:regulates  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000013677	0.11627907	0.11627907	5	43	43	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:affects_response_to  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000071122	0.40625	0.40625	26	64	64	?a
?b  increased_abundance_biolink:affects  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.142857143	0.2	1	7	5	?a
?b  biolink:affects_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.096774194	0.107142857	3	31	28	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.1	0.1	1	10	10	?a
?b  increased_abundance_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.076923077	0.111111111	1	13	9	?a
?a  increased_activity_biolink:affects  ?b  ?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.125	0.125	1	8	8	?a
?a  increased_transport_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.111111111	0.142857143	2	18	14	?a
?a  increased_activity_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.5	1	1	2	1	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.166666667	0.2	1	6	5	?a
?b  increased_activity_or_abundance_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000016413	0.06	0.127659574	6	100	47	?a
?b  increased_activity_or_abundance_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.047619048	0.066666667	2	42	30	?a
?b  decreased_abundance_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.166666667	0.25	3	18	12	?a
?a  biolink:increases_response_to  ?b  ?b  decreased_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.01754386	0.142857143	1	57	7	?a
?a  increased_activity_biolink:affects  ?b  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.068965517	0.090909091	2	29	22	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  decreased_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  decreased_synthesis_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000008206	0.25	0.25	3	12	12	?a
?b  biolink:directly_physically_interacts_with  ?a  ?b  decreased_abundance_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.023255814	0.111111111	1	43	9	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  decreased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  decreased_secretion_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.4	0.666666667	2	5	3	?a
?a  biolink:interacts_with  ?b  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?a  biolink:decreases_response_to  ?b  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	1	1	1	1	1	?a
?b  decreased_abundance_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.0625	0.333333333	1	16	3	?a
?b  decreased_uptake_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.125	0.125	1	8	8	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000010942	0.333333333	0.333333333	4	12	12	?a
?b  activity_biolink:affects  ?a  ?a  activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.142857143	0.5	1	7	2	?a
?b  activity_biolink:affects  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.25	0.25	1	4	4	?a
?a  biolink:increases_response_to  ?b  ?b  increased_activity_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.004878049	0.028571429	1	205	35	?a
?b  activity_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000002735	0.2	0.2	1	5	5	?a
?a  increased_activity_biolink:affects  ?b  ?b  increased_degradation_biolink:affects  ?a   => ?a  decreased_activity_or_abundance_biolink:affects  ?b	0.000005471	0.4	0.5	2	5	4	?a
