Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 24 s using 10357 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.009026641	0.001104316	0.049141118	452	409303	9198	?a
?a  biolink:increases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000499261	0.008494733	0.074850299	25	2943	334	?a
?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.002461755	0.002485354	14	5687	5633	?a
?a  activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.002336542	0.000259367	0.007397572	117	451099	15816	?a
?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.007596685	0.00818148	22	2896	2689	?a
?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.019191596	0.002670602	0.048948199	961	359844	19633	?a
?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000818788	0.000237563	0.012009373	41	172586	3414	?a
?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.00242929	0.002479192	14	5763	5647	?a
?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.019391301	0.002656133	0.038463062	971	365569	25245	?a
?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.010526316	0.014778325	3	285	203	?a
?a  biolink:decreases_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.002669831	0.032846715	9	3371	274	?a
?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.000859476	0.000870227	8	9308	9193	?a
?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.005586592	0.007194245	1	179	139	?a
?a  increased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.002358491	0.002873563	1	424	348	?a
?a  increased_uptake_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.002159827	0.024390244	1	463	41	?a
?a  increased_molecular_modification_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.004901961	0.005347594	1	204	187	?a
?a  biolink:affects_response_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000259616	0.002387073	0.046931408	13	5446	277	?a
?a  increased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.000819169	0.000854884	8	9766	9358	?a
?a  increased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.000566572	0.000814332	1	1765	1228	?a
?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	1	0.836910015	0.842656166	50074	59832	59424	?a
?a  upregulated_biolink:regulates  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000539202	0.000207192	0.002076763	27	130314	13001	?a
?a  downregulated_biolink:regulates  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000219675	0.000084061	0.000763253	11	130857	14412	?a
?a  abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.000004441	0.00012851	2	450395	15563	?a
?b  increased_metabolic_processing_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000159764	0.054054054	0.066666667	8	148	120	?a
?b  biolink:decreases_response_to  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00043935	0.148648649	0.174603175	22	148	126	?a
?a  biolink:related_to  ?b  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.113207547	0.12244898	6	53	49	?a
?b  biolink:decreases_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.125	0.138461538	9	72	65	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.08974359	0.090909091	7	78	77	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.08974359	0.090909091	7	78	77	?a
?b  biolink:decreases_response_to  ?a  ?a  increased_molecular_modification_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.2	1	5	5	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.137931034	0.153846154	4	29	26	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.142857143	0.142857143	1	7	7	?a
?b  biolink:decreases_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.352941176	0.352941176	6	17	17	?a
?b  biolink:decreases_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.1	0.1	1	10	10	?a
?b  biolink:increases_response_to  ?a  ?b  increased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.068181818	0.105263158	6	88	57	?a
?a  biolink:binds  ?b  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.304347826	0.411764706	7	23	17	?a
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?b  biolink:decreases_response_to  ?a  ?a  upregulated_biolink:regulates  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.058823529	0.058823529	1	17	17	?a
?b  biolink:affects_response_to  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.0008787	0.150170648	0.168582375	44	293	261	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000199704	0.227272727	0.277777778	10	44	36	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.225	0.28125	9	40	32	?a
?b  biolink:decreases_response_to  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000838759	0.162790698	0.181818182	42	258	231	?a
?a  activity_biolink:affects  ?b  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.142857143	0.285714286	2	14	7	?a
?b  biolink:decreases_response_to  ?a  ?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.222222222	0.4	2	9	5	?a
?b  biolink:decreases_response_to  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00045932	0.425925926	0.450980392	23	54	51	?a
?b  biolink:decreases_response_to  ?a  ?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.142857143	0.166666667	2	14	12	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.25	0.25	2	8	8	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.096774194	0.115384615	3	31	26	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000718936	0.204545455	0.225	36	176	160	?a
?b  activity_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.25	0.25	1	4	4	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000599113	0.1171875	0.135746606	30	256	221	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000559172	0.583333333	0.608695652	28	48	46	?a
?b  biolink:increases_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.134615385	0.147368421	14	104	95	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.157894737	0.157894737	9	57	57	?a
?a  biolink:binds  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000239645	0.5	0.571428571	12	24	21	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000179734	0.157894737	0.157894737	9	57	57	?a
?a  activity_biolink:affects  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	1	1	4	4	4	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.233333333	0.25	7	30	28	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.090909091	0.166666667	1	11	6	?a
?b  biolink:decreases_response_to  ?a  ?b  increased_molecular_modification_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00045932	0.111111111	0.13372093	23	207	172	?a
?b  biolink:affects_response_to  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.001078404	0.178807947	0.193548387	54	302	279	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.083333333	0.086956522	2	24	23	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.428571429	0.428571429	6	14	14	?a
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000079882	0.8	1	4	5	4	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.25	1	5	4	?a
?b  biolink:increases_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.111111111	0.2	1	9	5	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.2	0.222222222	2	10	9	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000339498	0.395348837	0.435897436	17	43	39	?a
?b  biolink:increases_response_to  ?a  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.176470588	0.230769231	3	17	13	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000339498	0.369565217	0.425	17	46	40	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.001318049	0.227586207	0.251908397	66	290	262	?a
