Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 37 s using 10313 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  biolink:directly_physically_interacts_with  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000685252	0.232954545	0.254658385	41	176	161	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000417837	0.120772947	0.142045455	25	207	176	?a
?b  biolink:increases_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000267415	0.153846154	0.166666667	16	104	96	?a
?a  biolink:binds  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000200562	0.5	0.571428571	12	24	21	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000150421	0.157894737	0.157894737	9	57	57	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000150421	0.157894737	0.157894737	9	57	57	?a
?b  biolink:increases_response_to  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000116994	0.233333333	0.25	7	30	28	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000116994	0.5	0.5	7	14	14	?a
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	0.8	1	4	5	4	?a
?a  activity_biolink:affects  ?b  ?b  biolink:increases_response_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000066854	1	1	4	4	4	?a
