Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Score	total Head
?e  <biolink:close_match>  ?j  ?e  <biolink:prevents>  ?b  ?j  <biolink:subclass_of>  ?a   => ?a  <biolink:treats>  ?b	0.011448118	0.111668274	0.42293645	579	5185	1369	?a	0.12311639199999999	13.942700095
?f  <biolink:affects>  ?i  ?i  <biolink:entity_positively_regulates_entity>  ?b  ?a  <biolink:prevents>  ?f   => ?a  <biolink:treats>  ?b	0.01413714	0.108910891	0.125394598	715	6565	5702	?a	0.123048031	13.956837235
?a  <biolink:entity_negatively_regulates_entity>  ?f  ?f  <biolink:gene_associated_with_condition>  ?b  ?f  <biolink:predisposes>  ?b   => ?a  <biolink:treats>  ?b	0.012120373	0.110749774	0.178405122	613	5535	3436	?a	0.122870147	13.968957608
?e  <biolink:causes>  ?b  ?e  <biolink:contributes_to>  ?j  ?a  <biolink:treats>  ?j   => ?a  <biolink:treats>  ?b	0.01680639	0.105919003	0.105919003	850	8025	8025	?a	0.122725393	13.985763998
?f  <biolink:manifestation_of>  ?j  ?j  <biolink:predisposes>  ?b  ?a  <biolink:prevents>  ?f   => ?a  <biolink:treats>  ?b	0.021235369	0.101435587	0.113219481	1074	10588	9486	?a	0.122670956	14.006999366999999
?b  <biolink:affects>  ?f  ?b  <biolink:predisposes>  ?f  ?a  <biolink:prevents>  ?f   => ?a  <biolink:treats>  ?b	0.014196457	0.108442833	0.124717735	718	6621	5757	?a	0.12263929	14.021195824
?a  <biolink:close_match>  ?f  ?f  <biolink:has_input>  ?j  ?j  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.015580512	0.106775068	0.683434519	788	7380	1153	?a	0.12235558	14.036776335999999
?a  <biolink:entity_negatively_regulates_entity>  ?e  ?e  <biolink:entity_positively_regulates_entity>  ?b  ?e  <biolink:predisposes>  ?b   => ?a  <biolink:treats>  ?b	0.014829168	0.106307583	0.16850146	750	7055	4451	?a	0.121136751	14.051605504
?a  <biolink:physically_interacts_with>  ?e  ?e  <biolink:produces>  ?a  ?e  <biolink:treats>  ?b   => ?a  <biolink:treats>  ?b	0.012258779	0.10822133	0.135667396	620	5729	4570	?a	0.120480109	14.063864283
?e  <biolink:interacts_with>  ?b  ?j  <biolink:manifestation_of>  ?e  ?a  <biolink:treats>  ?j   => ?a  <biolink:treats>  ?b	0.010854951	0.109493418	0.109493418	549	5014	5014	?a	0.120348369	14.074719234
