Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:increases_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000022232	0.140350877	0.140350877	8	57	57	?a
?b  biolink:decreases_response_to  ?a  ?b  decreased_uptake_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.1	0.1	1	10	10	?a
?b  biolink:decreases_response_to  ?a  ?b  decreased_activity_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.071428571	0.166666667	1	14	6	?a
?b  biolink:decreases_response_to  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  biolink:decreases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000066696	0.545454545	0.558139535	24	44	43	?a
?b  biolink:increases_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.214285714	0.214285714	3	14	14	?a
?b  biolink:increases_response_to  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.090909091	0.090909091	1	11	11	?a
?b  biolink:increases_response_to  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000011116	0.1	0.108108108	4	40	37	?a
?a  activity_or_abundance_biolink:affects  ?b  ?b  biolink:increases_response_to  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.2	0.333333333	1	5	3	?a
?b  biolink:increases_response_to  ?a  ?a  downregulated_biolink:regulates  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000008337	0.176470588	0.176470588	3	17	17	?a
