Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-fixed.txt
  Finished robokop-biolink3-fixed.txt, still running: 0
Loaded 18138526 facts in 1 min, 34 s using 10124 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:affects_response_to  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000758877	0.527777778	0.567164179	38	72	67	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000419379	0.082352941	0.097674419	21	255	215	?a
?b  biolink:affects_response_to  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000519232	0.188405797	0.216666667	26	138	120	?a
?a  activity_biolink:affects  ?b  ?b  biolink:affects_response_to  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.5	0.5	3	6	6	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000279586	0.4375	0.482758621	14	32	29	?a
?b  biolink:affects_response_to  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000119823	0.3	0.333333333	6	20	18	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.2	0.2	2	10	10	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.333333333	0.333333333	1	3	3	?a
?b  biolink:affects_response_to  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000139793	0.109375	0.111111111	7	64	63	?a
?a  biolink:related_to  ?b  ?b  increased_degradation_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  activity_biolink:affects  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.25	0.25	1	4	4	?a
?a  biolink:related_to  ?b  ?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.103448276	0.107142857	3	29	28	?a
?a  biolink:directly_physically_interacts_with  ?b  ?b  synthesis_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.2	0.25	1	5	4	?a
?b  activity_biolink:affects  ?a  ?a  increased_transport_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
?b  biolink:affects_response_to  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.133333333	0.142857143	2	15	14	?a
?b  biolink:affects_response_to  ?a  ?b  increased_activity_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.230769231	0.333333333	3	13	9	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000639054	0.367816092	0.463768116	32	87	69	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00045932	0.58974359	0.657142857	23	39	35	?a
?b  abundance_biolink:affects  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.6	0.6	3	5	5	?a
